group,n,base_rate,pred_rate,mean_prob,AUC,TPR,FPR,FNR,Precision,F1,Brier,ME,AIR,fails_80pct,SMD
8888,45568,0.8646,0.9725,0.9333,0.7402,0.9886,0.8696,0.0114,0.8789,0.9305,0.1102,0.1079,1.0,False,0.0
25-34,338035,0.8148,0.9156,0.9001,0.8611,0.9861,0.6053,0.0139,0.8776,0.9287,0.1084,0.1008,0.9415,False,-0.1519
<25,61484,0.7995,0.9065,0.8873,0.8559,0.9858,0.5904,0.0142,0.8694,0.924,0.113,0.107,0.9321,False,-0.2104
35-44,411465,0.7645,0.8831,0.8742,0.844,0.9769,0.5786,0.0231,0.8457,0.9066,0.1342,0.1186,0.9081,False,-0.2703
45-54,358896,0.732,0.8584,0.8528,0.8291,0.9684,0.558,0.0316,0.8258,0.8914,0.1493,0.1264,0.8827,False,-0.3682
55-64,282383,0.7225,0.8402,0.8374,0.8336,0.9615,0.5243,0.0385,0.8269,0.8891,0.1477,0.1177,0.864,False,-0.4386
65-74,165336,0.7162,0.819,0.8194,0.8367,0.951,0.4857,0.049,0.8317,0.8873,0.1446,0.1028,0.8422,False,-0.521
>74,69188,0.6933,0.798,0.8039,0.8236,0.9381,0.4813,0.0619,0.815,0.8722,0.1573,0.1047,0.8206,False,-0.5919
