group,n,base_rate,pred_rate,mean_prob,AUC,TPR,FPR,FNR,Precision,F1,Brier,ME,AIR,fails_80pct,SMD
Joint,37803,0.8029,0.9177,0.9015,0.8382,0.9843,0.6468,0.0157,0.8611,0.9185,0.1224,0.1149,1.0,False,0.0
Asian,104674,0.7876,0.8824,0.8811,0.8698,0.9816,0.5146,0.0184,0.8761,0.9259,0.1108,0.0948,0.9615,False,-0.0933
White,1109449,0.782,0.8819,0.8692,0.8386,0.9708,0.5632,0.0292,0.8608,0.9125,0.1234,0.1,0.961,False,-0.1477
Race Not Available,306591,0.7218,0.8598,0.8581,0.8452,0.9754,0.56,0.0246,0.8188,0.8903,0.1551,0.138,0.9369,False,-0.1985
Black or African American,152065,0.6346,0.8056,0.8117,0.831,0.9596,0.5379,0.0404,0.756,0.8458,0.1917,0.1709,0.8778,False,-0.4107
American Indian or Alaska Native,12716,0.6286,0.8015,0.8077,0.8477,0.9643,0.5259,0.0357,0.7563,0.8477,0.1892,0.1729,0.8734,False,-0.429
2 or more minority races,4394,0.6211,0.7931,0.8069,0.8635,0.9689,0.5051,0.0311,0.7587,0.851,0.1883,0.1721,0.8642,False,-0.4327
Native Hawaiian or Other Pacific Islander,4224,0.6143,0.7732,0.7926,0.8529,0.9538,0.4856,0.0462,0.7578,0.8446,0.1859,0.1589,0.8425,False,-0.4981
Free Form Text Only,439,0.4169,0.7358,0.6848,0.8717,0.9945,0.5508,0.0055,0.5635,0.7194,0.229,0.3189,0.8018,False,-0.9911
