group,n,pct_of_data,approval_rate,AUC,F1,FPR,FNR,Brier
Black or African American,152065,8.8,0.6346,0.831,0.8458,0.5379,0.0404,0.1917
Joint,37803,2.2,0.8029,0.8382,0.9185,0.6468,0.0157,0.1224
White,1109449,64.0,0.782,0.8386,0.9125,0.5632,0.0292,0.1234
Race Not Available,306591,17.7,0.7218,0.8452,0.8903,0.56,0.0246,0.1551
American Indian or Alaska Native,12716,0.7,0.6286,0.8477,0.8477,0.5259,0.0357,0.1892
Native Hawaiian or Other Pacific Islander,4224,0.2,0.6143,0.8529,0.8446,0.4856,0.0462,0.1859
2 or more minority races,4394,0.3,0.6211,0.8635,0.851,0.5051,0.0311,0.1883
Asian,104674,6.0,0.7876,0.8698,0.9259,0.5146,0.0184,0.1108
Free Form Text Only,439,0.0,0.4169,0.8717,0.7194,0.5508,0.0055,0.229
