group,n,base_rate,pred_rate,mean_prob,AUC,TPR,FPR,FNR,Precision,F1,Brier,ME,AIR,fails_80pct,SMD
Joint,44743,0.7906,0.9069,0.8928,0.8453,0.9824,0.6217,0.0176,0.8565,0.9151,0.1257,0.1162,1.0,False,0.0
Not Hispanic or Latino,1192230,0.7736,0.8778,0.8669,0.8414,0.9707,0.5605,0.0293,0.8555,0.9094,0.1272,0.1042,0.9679,False,-0.1185
Ethnicity Not Available,283008,0.7289,0.8655,0.8621,0.8425,0.9758,0.5689,0.0242,0.8218,0.8922,0.1535,0.1366,0.9543,False,-0.1404
Hispanic or Latino,211621,0.6962,0.8331,0.8348,0.8485,0.9696,0.5203,0.0304,0.8102,0.8828,0.1566,0.1369,0.9186,False,-0.2653
Free Form Text Only,753,0.4954,0.6866,0.7304,0.8719,0.9678,0.4105,0.0322,0.6983,0.8112,0.2117,0.1912,0.7571,True,-0.7428
