group,pre_pred_rate,pre_air,threshold_used,action,post_pred_rate,post_air,pre_fnr,post_fnr,pre_fpr,post_fpr
Joint,0.9177,1.0,0.7289,unchanged,0.9177,1.0,0.0157,0.0157,0.6468,0.6468
Asian,0.8824,0.9615,0.7289,unchanged,0.8824,0.9615,0.0184,0.0184,0.5146,0.5146
White,0.8819,0.961,0.7289,unchanged,0.8819,0.961,0.0292,0.0292,0.5632,0.5632
Race Not Available,0.8598,0.9369,0.7289,unchanged,0.8598,0.9369,0.0246,0.0246,0.56,0.56
Black or African American,0.8056,0.8778,0.7289,unchanged,0.8056,0.8778,0.0404,0.0404,0.5379,0.5379
American Indian or Alaska Native,0.8015,0.8734,0.7289,unchanged,0.8015,0.8734,0.0357,0.0357,0.5259,0.5259
2 or more minority races,0.7931,0.8642,0.7289,unchanged,0.7931,0.8642,0.0311,0.0311,0.5051,0.5051
Native Hawaiian or Other Pacific Islander,0.7732,0.8425,0.7289,unchanged,0.7732,0.8425,0.0462,0.0462,0.4856,0.4856
Free Form Text Only,0.6241,0.6801,0.325,lowered,0.7358,0.8018,0.0492,0.0055,0.3906,0.5508
